"Grupo de documentos","Segmento","Código","PARTIT","GENERE","PERCENT"
2005,"Valls i Llobet","Salut_sexual","PSC","D",31.8
2005,"Valls i Llobet","Familia_llar","PSC","D",31.8
2005,"Valls i Llobet","Salut_sexual","PSC","D",31.8
2005,"Valls i Llobet","Salut_sexual","PSC","D",31.8
2005,"Valls i Llobet","Salut_sexual","PSC","D",31.8
2005,"Vendrell","Salut_sexual","ERC","H",31.8
2005,"Vendrell","Violencia","ERC","H",31.8
2005,"Vendrell","Violencia","ERC","H",31.8
2005,"Vendrell","Salut_sexual","ERC","H",31.8
2005,"Vilanova i Vilà","treball","CIU","H",31.8
2005,"Vilanova i Vilà","Familia_llar","CIU","H",31.8
2006,"Amorós i March","treball_sex","ERC","D",35.5
2006,"Amorós i March","treball_sex","ERC","H",35.5
2006,"Amorós i March","treball_sex","ERC","D",35.5
2006,"Amorós i March","treball_sex","ERC","H",35.5
2006,"Boada i Masoliver","Fem_igualtat","PSC","H",35.5
2006,"Boada i Masoliver","Fem_igualtat","ERC","H",35.5
2006,"Boada i Masoliver","Fem_igualtat","PSC","H",35.5
2006,"Boada i Masoliver","Fem_igualtat","ERC","H",35.5
2006,"Bosch i Mestres","treball","ERC","H",35.5
2006,"Capdevila i Palau","Violencia","ERC","H",35.5
2006,"del Pozo i Àlvarez","Familia_llar","PP","H",35.5
2006,"Llorens i Garcia","Fem_igualtat","PP","H",35.5
2006,"Llorens i Garcia","Fem_igualtat","PP","H",35.5
2006,"Marina Geli i Fàbrega","Salut_sexual","PP","D",35.5
2006,"Marina Geli i Fàbrega","Salut_sexual","PP","D",35.5
2006,"Mas i Gavarró","Familia_llar","PSC","H",35.5
2006,"Miquel Àngel Estradé i Palau","Salut_sexual","CIU","H",35.5
2006,"Nadal i Farreras","Fem_igualtat","CIU","H",35.5
2006,"Ortega i Alemany","Fem_igualtat","CIU","H",35.5
2006,"Puigcercós i Boixassa","Fem_igualtat","CIU","H",35.5
2006,"Rigau i Oliver","Familia_llar","ERC","H",35.5
2006,"Rigau i Oliver","Familia_llar","ERC","H",35.5
2006,"Rigau i Oliver","Familia_llar","ERC","H",35.5
2006,"Rigau i Oliver","Familia_llar","ERC","H",35.5
2006,"Rigau i Oliver","Familia_llar","ERC","H",35.5
2006,"Rigau i Oliver","Familia_llar","ERC","H",35.5
2006,"Rigau i Oliver","Violencia","ERC","H",35.5
2006,"Rigau i Oliver","Violencia","ERC","H",35.5
2006,"Santos i Arnau","Fem_igualtat","PSC","D",35.5
2006,"Saura i Laporta","treball_sex","CIU","H",35.5
2006,"Segú i Ferré","treball","ICV","H",35.5
2007,"Aragonès i Garcia","Salut_sexual","ERC","H",35.5
2007,"Aragonès i Garcia","Fem_igualtat","ERC","H",35.5
2007,"Bosch i Mestres","Salut_sexual","ERC","H",35.5
2007,"Bosch i Mestres","Fem_igualtat","ERC","H",35.5
2007,"Camats i Luis","Violencia","PP","H",35.5
2007,"Labandera Ganachipi","Salut_sexual","PSC","H",35.5
2007,"Laïlla i Jou","Familia_llar","PSC","H",35.5
2007,"Laïlla i Jou","Familia_llar","PSC","H",35.5
2007,"Laïlla i Jou","Familia_llar","PSC","H",35.5
2007,"Maragall i Mira","Salut_sexual","ICV","H",35.5
2007,"Maragall i Mira","Salut_sexual","CIU","H",35.5
2007,"Maragall i Mira","Fem_igualtat","ICV","H",35.5
2007,"Maragall i Mira","Fem_igualtat","CIU","H",35.5
2007,"Marina Geli i Fàbrega","Salut_sexual","PP","D",35.5
2007,"Marina Geli i Fàbrega","Salut_sexual","PP","D",35.5
2007,"Marina Geli i Fàbrega","Salut_sexual","PP","D",35.5
2007,"Marina Geli i Fàbrega","Salut_sexual","PP","D",35.5
2007,"Mejías Sánchez","representacio","PSC","D",35.5
2007,"Millo i Rocher","Familia_llar","ICV","H",35.5
2007,"Millo i Rocher","Familia_llar","ICV","H",35.5
2007,"Millo i Rocher","Familia_llar","ICV","H",35.5
2007,"Miralles i Conte","Violencia","ICV","H",35.5
2007,"Montanya i Mías","Violencia","ERC","H",35.5
2007,"Nadal i Farreras","Violencia","CIU","H",35.5
2007,"Pelegrí i Aixut","Familia_llar","PSC","D",35.5
2007,"Pi i Noya","Fem_igualtat","PSC","H",35.5
2007,"Ribera i Garijo","treball_sex","CIU","D",35.5
2007,"Ribera i Garijo","treball_sex","CIU","D",35.5
2007,"Ribera i Garijo","treball_sex","CIU","D",35.5
2007,"Rigau i Oliver","Fem_igualtat","ERC","H",35.5
2007,"Rigau i Oliver","Fem_igualtat","ERC","H",35.5
2007,"Rigau i Oliver","representacio","ERC","H",35.5
2007,"Rigau i Oliver","Fem_igualtat","ERC","H",35.5
2007,"Rigau i Oliver","representacio","ERC","H",35.5
2007,"Rivera Díaz","Fem_igualtat","CIU","D",35.5
2007,"Rivera Díaz","Fem_igualtat","CIU","D",35.5
2007,"Rivera Díaz","Fem_igualtat","CIU","D",35.5
2007,"Rivera Díaz","Fem_igualtat","CIU","D",35.5
2007,"Rivera Díaz","Violencia","CIU","D",35.5
2007,"Rivera Díaz","Familia_llar","CIU","D",35.5
2007,"Robles Almeida","Familia_llar","Ciutadans","H",35.5
2007,"Robles Almeida","Familia_llar","Ciutadans","H",35.5
2007,"Robles Almeida","Violencia","Ciutadans","H",35.5
2007,"Robles Almeida","treball_sex","Ciutadans","H",35.5
2007,"Robles Almeida","Violencia","Ciutadans","H",35.5
2007,"Sala i Roca","representacio","PSC","H",35.5
2007,"Sancho i Serena","Salut_sexual","CIU","H",35.5
2007,"Sancho i Serena","Salut_sexual","CIU","H",35.5
2007,"Vila i Vicente","Salut_sexual","ERC","H",35.5
2008,"Arcarons i Oferil","Fem_igualtat","PSC","D",35.5
2008,"Borràs i Solé","Familia_llar","ICV","H",35.5
2008,"Borràs i Solé","treball","ICV","H",35.5
2008,"Borràs i Solé","Familia_llar","ICV","H",35.5
2008,"Borràs i Solé","Familia_llar","ICV","H",35.5
2008,"Bosch i Codolà","Familia_llar","CIU","D",35.5
2008,"Bosch i Codolà","Salut_sexual","CIU","D",35.5
2008,"Camats i Luis","Familia_llar","PP","H",35.5
2008,"Camats i Luis","Salut_sexual","PP","H",35.5
2008,"Figueras i Siñol","Familia_llar","PP","H",35.5
2008,"Labandera Ganachipi","treball_sex","PSC","H",35.5
2008,"Llevot Lloret","Violencia","PSC","H",35.5
2008,"Llevot Lloret","Violencia","PSC","H",35.5
2008,"Llobet Navarro","treball_sex","PSC","H",35.5
2008,"Maragall i Mira","Salut_sexual","CIU","H",35.5
2008,"Maragall i Mira","Salut_sexual","ICV","H",35.5
2008,"Marina Geli i Fàbrega","Salut_sexual","PP","D",35.5
2008,"Marina Geli i Fàbrega","Salut_sexual","PP","D",35.5
2008,"Mas i Gavarró","Salut_sexual","PSC","H",35.5
2008,"Mas i Gavarró","Salut_sexual","PSC","H",35.5
2008,"Milà i Solsona","Fem_igualtat","PSC","D",35.5
2008,"Millo i Rocher","Fem_igualtat","ICV","H",35.5
2008,"Millo i Rocher","Familia_llar","ICV","H",35.5
2008,"Millo i Rocher","Familia_llar","ICV","H",35.5
2008,"Montanya i Mías","Violencia","ERC","H",35.5
2008,"Pi i Noya","Salut_sexual","PSC","H",35.5
2008,"Pifarré i Matas","Familia_llar","ICV","H",35.5
2008,"Postigo i Garcia","Salut_sexual","CIU","H",35.5
2008,"Postigo i Garcia","Salut_sexual","CIU","H",35.5
2008,"Postigo i Garcia","Violencia","CIU","H",35.5
2008,"Postigo i Garcia","Salut_sexual","CIU","H",35.5
2008,"Puigcercós i Boixassa","Familia_llar","CIU","H",35.5
2008,"Rivera Díaz","Fem_igualtat","CIU","D",35.5
2008,"Robles Almeida","Fem_igualtat","Ciutadans","H",35.5
2008,"Robles Almeida","Fem_igualtat","Ciutadans","H",35.5
2008,"Robles Almeida","Fem_igualtat","Ciutadans","H",35.5
2008,"Rull i Andreu","treball_sex","CIU","D",35.5
2008,"Rull i Andreu","treball_sex","CIU","D",35.5
2008,"Rull i Andreu","treball_sex","CIU","D",35.5
2008,"Rull i Andreu","Salut_sexual","CIU","D",35.5
2008,"Rull i Andreu","Salut_sexual","CIU","D",35.5
2008,"Rull i Andreu","treball_sex","CIU","D",35.5
2008,"Rull i Andreu","Violencia","CIU","D",35.5
2008,"Rull i Andreu","treball_sex","CIU","D",35.5
2008,"Sancho i Serena","Salut_sexual","CIU","H",35.5
2008,"Sancho i Serena","Salut_sexual","CIU","H",35.5
2008,"Sancho i Serena","Salut_sexual","CIU","H",35.5
2008,"Simó i Castelló","Fem_igualtat","PSC","D",35.5
2008,"Terrades i Santacreu","Salut_sexual","PP","H",35.5
2008,"Vilagrà i Pons","Salut_sexual","CIU","H",35.5
2009,"Aragonès i Garcia","Fem_igualtat","ERC","H",35.5
2009,"Arcarons i Oferil","Violencia","PSC","D",35.5
2009,"Arcarons i Oferil","Salut_sexual","PSC","D",35.5
2009,"Arcarons i Oferil","Violencia","PSC","D",35.5
2009,"Bertran i Arrué","Salut_sexual","PSC","D",35.5
2009,"Bertran i Arrué","Salut_sexual","PP","H",35.5
2009,"Bertran i Arrué","Salut_sexual","PSC","D",35.5
2009,"Bertran i Arrué","Salut_sexual","PP","H",35.5
2009,"Bosch i Codolà","Familia_llar","CIU","D",35.5
2009,"Bosch i Mestres","Familia_llar","ERC","H",35.5
2009,"Capdevila i Palau","Salut_sexual","ERC","H",35.5
2009,"Carmen de Rivera i Pla","Salut_sexual","PSC","D",35.5
2009,"Figueras i Siñol","Salut_sexual","PP","H",35.5
2009,"Figueras i Siñol","Familia_llar","PP","H",35.5
2009,"Figueras i Siñol","Familia_llar","PP","H",35.5
2009,"Figueras i Siñol","Familia_llar","PP","H",35.5
2009,"Laïlla i Jou","Salut_sexual","PSC","H",35.5
2009,"Laïlla i Jou","Salut_sexual","PSC","H",35.5
2009,"Laïlla i Jou","Fem_igualtat","PSC","H",35.5
2009,"Laïlla i Jou","Fem_igualtat","PSC","H",35.5
2009,"Laïlla i Jou","Salut_sexual","PSC","H",35.5
2009,"Laïlla i Jou","Familia_llar","PSC","H",35.5
2009,"Laïlla i Jou","Salut_sexual","PSC","H",35.5
2009,"Luna i Vivas","Salut_sexual","PP","H",35.5
2009,"Luna i Vivas","Violencia","PP","H",35.5
2009,"Marina Geli i Fàbrega","Salut_sexual","PP","D",35.5
2009,"Marina Geli i Fàbrega","Salut_sexual","PP","D",35.5
2009,"Marina Geli i Fàbrega","Familia_llar","PP","D",35.5
2009,"Milà i Solsona","Familia_llar","PSC","D",35.5
2009,"Millo i Rocher","Salut_sexual","ICV","H",35.5
2009,"Millo i Rocher","Familia_llar","ICV","H",35.5
2009,"Millo i Rocher","Familia_llar","ICV","H",35.5
2009,"Miralles i Conte","treball_sex","ICV","H",35.5
2009,"Miralles i Conte","Fem_igualtat","ICV","H",35.5
2009,"Montanya i Mías","Familia_llar","ERC","H",35.5
2009,"Montanya i Mías","Salut_sexual","ERC","H",35.5
2009,"Montserrat i Culleré","Salut_sexual","PSC","H",35.5
2009,"Montserrat i Culleré","Salut_sexual","PSC","H",35.5
2009,"Montserrat i Culleré","Salut_sexual","PSC","H",35.5
2009,"Montserrat i Culleré","Salut_sexual","PSC","H",35.5
2009,"Pelegrí i Aixut","Fem_igualtat","PSC","D",35.5
2009,"Pelegrí i Aixut","Fem_igualtat","PSC","D",35.5
2009,"Pelegrí i Aixut","Fem_igualtat","PSC","D",35.5
2009,"Puigcercós i Boixassa","Fem_igualtat","CIU","H",35.5
2009,"Renom i Vallbona","Fem_igualtat","CIU","H",35.5
2009,"Rigau i Oliver","representacio","ERC","H",35.5
2009,"Rivera Díaz","Familia_llar","CIU","D",35.5
2009,"Rivera Díaz","Fem_igualtat","CIU","D",35.5
2009,"Robles Almeida","Familia_llar","Ciutadans","H",35.5
2009,"Robles Almeida","Familia_llar","Ciutadans","H",35.5
2009,"Robles Almeida","Familia_llar","Ciutadans","H",35.5
2009,"Robles Almeida","Salut_sexual","Ciutadans","H",35.5
2009,"Rull i Andreu","Salut_sexual","CIU","D",35.5
2009,"Simó i Castelló","treball_sex","PSC","D",35.5
2009,"Turull i Negre","Fem_igualtat","PSC","D",35.5
2009,"Turull i Negre","Fem_igualtat","PSC","D",35.5
2009,"Vidal i Huguet","Fem_igualtat","PSC","D",35.5
2010,"Arcarons i Oferil","Fem_igualtat","PSC","D",43
2010,"Arcarons i Oferil","Fem_igualtat","PSC","D",43
2010,"Bertomeu i Bertomeu","Salut_sexual","CIU","H",43
2010,"Borràs i Solé","Familia_llar","ICV","H",43
2010,"Borràs i Solé","Salut_sexual","ICV","H",43
2010,"Bosch i Codolà","Familia_llar","CIU","D",43
2010,"Bosch i Codolà","Familia_llar","CIU","D",43
2010,"Bosch i Mestres","Salut_sexual","ERC","H",43
2010,"Bosch i Mestres","Familia_llar","ERC","H",43
2010,"Calbó i Roca","Salut_sexual","ERC","D",43
2010,"Calbó i Roca","Salut_sexual","ERC","D",43
2010,"Camats i Luis","Fem_igualtat","PP","H",43
2010,"Camats i Luis","Fem_igualtat","PP","H",43
2010,"Capdevila i Palau","Violencia","ERC","H",43
2010,"Castellà i Clavé","Fem_igualtat","CIU","H",43
2010,"Figueras i Siñol","Violencia","PP","H",43
2010,"Luna i Vivas","Salut_sexual","PP","H",43
2010,"Luna i Vivas","Violencia","PP","H",43
2010,"Marina Geli i Fàbrega","Salut_sexual","PP","D",43
2010,"Mas i Gavarró","Salut_sexual","PSC","H",43
2010,"Mas i Gavarró","Salut_sexual","PSC","H",43
2010,"Mieras i Barceló","Salut_sexual","PP","D",43
2010,"Montanya i Mías","Salut_sexual","ERC","H",43
2010,"Nadal i Farreras","Fem_igualtat","CIU","H",43
2010,"Puigcercós i Boixassa","Familia_llar","CIU","H",43
2010,"Pujol i Ferrusola","treball","PSC","H",43
2010,"Rivera Díaz","Salut_sexual","CIU","D",43
2010,"Rivera Díaz","Salut_sexual","CIU","D",43
2010,"Rivera Díaz","Salut_sexual","CIU","D",43
2010,"Rivera Díaz","Violencia","CIU","D",43
2010,"Rivera Díaz","Fem_igualtat","CIU","D",43
2010,"Rivera Díaz","Fem_igualtat","CIU","D",43
2010,"Rivera Díaz","Salut_sexual","CIU","D",43
2010,"Rivera Díaz","Salut_sexual","CIU","D",43
2010,"Rivera Díaz","Fem_igualtat","CIU","D",43
2010,"Roca i Perich","Fem_igualtat","Ciutadans","H",43
2010,"Sancho i Serena","Salut_sexual","CIU","H",43
2010,"Sancho i Serena","Familia_llar","CIU","H",43
2010,"Turull i Negre","Familia_llar","PSC","D",43
2010,"Turull i Negre","Familia_llar","PSC","D",43
2011,"Albert Rivera Díaz","treball_sex","Ciutadans","H",43
2011,"Albert Rivera Díaz","treball_sex","Ciutadans","H",43
2011,"Albert Rivera Díaz","treball_sex","Ciutadans","H",43
2011,"Albert Rivera Díaz","treball_sex","Ciutadans","H",43
2011,"Albert Rivera Díaz","Violencia","Ciutadans","H",43
2011,"Albert Rivera Díaz","treball_sex","Ciutadans","H",43
2011,"Albert Rivera Díaz","treball_sex","Ciutadans","H",43
2011,"Anna Simó i Castelló","treball_sex","ERC","D",43
2011,"Anna Simó i Castelló","representacio","ERC","D",43
2011,"Anna Simó i Castelló","treball","ERC","D",43
2011,"Anna Simó i Castelló","Familia_llar","ERC","D",43
2011,"Anna Simó i Castelló","Familia_llar","ERC","D",43
2011,"Anna Simó i Castelló","treball","ERC","D",43
2011,"Anna Simó i Castelló","representacio","ERC","D",43
2011,"Anna Simó i Castelló","Violencia","ERC","D",43
2011,"Antoni Strubell i Trueta","treball_sex","ERC","H",43
2011,"Antoni Strubell i Trueta","representacio","ERC","H",43
2011,"Antoni Strubell i Trueta","treball_sex","ERC","H",43
2011,"Antoni Strubell i Trueta","Violencia","ERC","H",43
2011,"Carles Puigdemont i Casamajó","representacio","CIU","H",43
2011,"Carme Capdevila i Palau","Salut_sexual","ERC","D",43
2011,"Carme Capdevila i Palau","Salut_sexual","ERC","D",43
2011,"Carmen de Rivera i Pla","treball_sex","Ciutadans","D",43
2011,"Caterina Mieras i Barceló","treball","PSC","D",43
2011,"Caterina Mieras i Barceló","Fem_igualtat","PSC","D",43
2011,"Caterina Mieras i Barceló","treball","PSC","D",43
2011,"Caterina Mieras i Barceló","Fem_igualtat","PSC","D",43
2011,"Caterina Mieras i Barceló","treball_sex","PSC","D",43
2011,"Caterina Mieras i Barceló","Violencia","PSC","D",43
2011,"Daniel Font i Cardona","representacio","PSC","H",43
2011,"Daniel Font i Cardona","Familia_llar","PSC","H",43
2011,"Daniel Font i Cardona","Familia_llar","PSC","H",43
2011,"Daniel Font i Cardona","representacio","PSC","H",43
2011,"Elena Ribera i Garijo","treball_sex","CIU","D",43
2011,"Felip Puig i Godes","Violencia","CIU","H",43
2011,"Felip Puig i Godes","treball_sex","CIU","H",43
2011,"Felip Puig i Godes","Violencia","CIU","H",43
2011,"Jaume Bosch i Mestres","treball_sex","ICV","H",43
2011,"Jaume Bosch i Mestres","treball_sex","ICV","H",43
2011,"Jaume Bosch i Mestres","Familia_llar","ICV","H",43
2011,"Jaume Bosch i Mestres","treball_sex","ICV","H",43
2011,"Jaume Bosch i Mestres","treball_sex","ICV","H",43
2011,"Joan Ferran i Serafini","Familia_llar","PSC","H",43
2011,"Joan Laporta i Estruch","Salut_sexual","ERC","H",43
2011,"Joan Laporta i Estruch","Fem_igualtat","ERC","H",43
2011,"Joan Laporta i Estruch","treball_sex","ERC","H",43
2011,"Joan Laporta i Estruch","treball","ERC","H",43
2011,"Joan Laporta i Estruch","treball_sex","ERC","H",43
2011,"Joan Laporta i Estruch","treball_sex","ERC","H",43
2011,"Joan Laporta i Estruch","treball_sex","ERC","H",43
2011,"Joan Laporta i Estruch","treball_sex","ERC","H",43
2011,"Joan Laporta i Estruch","treball_sex","ERC","H",43
2011,"Joan Laporta i Estruch","Violencia","ERC","H",43
2011,"Joan Puigcercós i Boixassa","Familia_llar","ERC","H",43
2011,"Joaquim Llena i Cortina","treball_sex","PSC","H",43
2011,"Joaquim Nadal i Farreras","Familia_llar","PSC","H",43
2011,"Joaquim Nadal i Farreras","Familia_llar","PSC","H",43
2011,"Joaquim Nadal i Farreras","Familia_llar","PSC","H",43
2011,"Joaquim Nadal i Farreras","Familia_llar","PSC","H",43
2011,"Jordi Cañas Pérez","treball_sex","Ciutadans","H",43
2011,"Jordi Cañas Pérez","treball_sex","Ciutadans","H",43
2011,"Jordi Cañas Pérez","treball_sex","Ciutadans","H",43
2011,"Jordi Cañas Pérez","treball_sex","Ciutadans","H",43
2011,"Jordi Cañas Pérez","treball_sex","Ciutadans","H",43
2011,"Jordi Cañas Pérez","treball_sex","Ciutadans","H",43
2011,"Jordi Cañas Pérez","Fem_igualtat","Ciutadans","H",43
2011,"Jordi Cañas Pérez","Familia_llar","Ciutadans","H",43
2011,"Jordi Miralles i Conte","Fem_igualtat","ICV","H",43
2011,"Jordi Turull i Negre","treball_sex","CIU","H",43
2011,"Jordi Turull i Negre","treball_sex","CIU","H",43
2011,"Josep Enric Millo i Rocher","treball_sex","PP","H",43
2011,"Josep Enric Millo i Rocher","Fem_igualtat","PP","H",43
2011,"Josep Enric Millo i Rocher","treball_sex","PP","H",43
2011,"Laia Bonet Rull","treball_sex","PSC","D",43
2011,"Lluís Guinó i Subirós","treball_sex","CIU","H",43
2011,"Marc Sanglas i Alcantarilla","Familia_llar","ERC","H",43
2011,"Marina Geli i Fàbrega","Salut_sexual","PSC","D",43
2011,"Marina Geli i Fàbrega","Salut_sexual","PSC","D",43
2011,"Marisa Xandri Pujol","Fem_igualtat","PP","D",43
2011,"Marisa Xandri Pujol","Familia_llar","PP","D",43
2011,"Marta Llorens i Garcia","treball","CIU","D",43
2011,"Marta Llorens i Garcia","Violencia","CIU","D",43
2011,"Miquel Iceta i Llorens","treball_sex","PSC","H",43
2011,"Miquel Iceta i Llorens","treball_sex","PSC","H",43
2011,"Núria de Gispert i Català","treball_sex","CIU","D",43
2011,"Núria de Gispert i Català","treball_sex","CIU","D",43
2011,"Oriol Amorós i March","treball_sex","ERC","H",43
2011,"Oriol Amorós i March","treball_sex","ERC","H",43
2011,"Oriol Amorós i March","treball_sex","ERC","H",43
2011,"Oriol Amorós i March","treball","ERC","H",43
2011,"Oriol Amorós i March","treball_sex","ERC","H",43
2011,"Oriol Amorós i March","treball_sex","ERC","H",43
2011,"Oriol Amorós i March","Violencia","ERC","H",43
2011,"Oriol Amorós i March","Violencia","ERC","H",43
2011,"Oriol Amorós i March","treball_sex","ERC","H",43
2011,"Oriol Amorós i March","Violencia","ERC","H",43
2011,"Pere Calbó i Roca","treball_sex","PP","H",43
2011,"Pere Calbó i Roca","Familia_llar","PP","H",43
2011,"Pere Calbó i Roca","Fem_igualtat","PP","H",43
2011,"Pere Calbó i Roca","treball_sex","PP","H",43
2011,"Pere Calbó i Roca","treball_sex","PP","H",43
2011,"Pere Calbó i Roca","treball_sex","PP","H",43
2011,"Roberto Edgardo Labandera Ganachipi","representacio","PSC","H",43
2011,"Salvador Milà i Solsona","treball_sex","ICV","H",43
2011,"Uriel Bertran i Arrué","treball_sex","ERC","H",43
2011,"Uriel Bertran i Arrué","treball_sex","ERC","H",43
2011,"Uriel Bertran i Arrué","treball_sex","ERC","H",43
2011,"Uriel Bertran i Arrué","Violencia","ERC","H",43
2011,"Uriel Bertran i Arrué","treball_sex","ERC","H",43
2011,"Uriel Bertran i Arrué","Violencia","ERC","H",43
2011,"Uriel Bertran i Arrué","Violencia","ERC","H",43
2012,"Albert Rivera Díaz","treball_sex","Ciutadans","H",40
2012,"Albert Rivera Díaz","Familia_llar","Ciutadans","H",40
2012,"Albert Rivera Díaz","Familia_llar","Ciutadans","H",40
2012,"Albert Rivera Díaz","Familia_llar","Ciutadans","H",40
2012,"Albert Rivera Díaz","Familia_llar","Ciutadans","H",40
2012,"Albert Rivera Díaz","treball_sex","Ciutadans","H",40
2012,"Albert Rivera Díaz","Familia_llar","Ciutadans","H",40
2012,"Albert Rivera Díaz","Familia_llar","Ciutadans","H",40
2012,"Albert Rivera Díaz","Familia_llar","Ciutadans","H",40
2012,"Albert Rivera Díaz","Familia_llar","Ciutadans","H",40
2012,"Albert Rivera Díaz","Familia_llar","Ciutadans","H",40
2012,"Albert Rivera Díaz","Familia_llar","Ciutadans","H",40
2012,"Albert Rivera Díaz","Familia_llar","Ciutadans","H",40
2012,"Albert Rivera Díaz","Familia_llar","Ciutadans","H",40
2012,"Anna Simó i Castelló","Familia_llar","ERC","D",40
2012,"Anna Simó i Castelló","Familia_llar","ERC","D",40
2012,"Anna Simó i Castelló","Familia_llar","ERC","D",40
2012,"Anna Simó i Castelló","Familia_llar","ERC","D",40
2012,"Anna Simó i Castelló","Familia_llar","ERC","D",40
2012,"Anna Simó i Castelló","Familia_llar","ERC","D",40
2012,"Anna Simó i Castelló","Familia_llar","ERC","D",40
2012,"Antoni Balasch i Parisi","Familia_llar","CIU","H",40
2012,"Antoni Balasch i Parisi","Familia_llar","CIU","H",40
2012,"Artur Mas i Gavarró","Familia_llar","CIU","H",40
2012,"Carmen de Rivera i Pla","Salut_sexual","Ciutadans","D",40
2012,"Carmen de Rivera i Pla","treball","Ciutadans","D",40
2012,"Carmen de Rivera i Pla","Familia_llar","Ciutadans","D",40
2012,"Carmen de Rivera i Pla","Salut_sexual","Ciutadans","D",40
2012,"Carmen de Rivera i Pla","Familia_llar","Ciutadans","D",40
2012,"Carmen de Rivera i Pla","Familia_llar","Ciutadans","D",40
2012,"Carmen de Rivera i Pla","Familia_llar","Ciutadans","D",40
2012,"Irene Rigau i Oliver","Familia_llar","CIU","D",40
2012,"Irene Rigau i Oliver","Familia_llar","CIU","D",40
2012,"Jaume Bosch i Mestres","treball_sex","ICV","H",40
2012,"Joan Morell i Comas","Violencia","CIU","H",40
2012,"Jordi Cañas Pérez","Familia_llar","Ciutadans","H",40
2012,"Jordi Cañas Pérez","Salut_sexual","Ciutadans","H",40
2012,"Jordi Turull i Negre","Fem_igualtat","CIU","H",40
2012,"Jordi Turull i Negre","Fem_igualtat","CIU","H",40
2012,"José Antonio Coto Roquet","Familia_llar","PP","H",40
2012,"José Antonio Coto Roquet","Familia_llar","PP","H",40
2012,"Josep Lluís Cleries i Gonzàlez","Salut_sexual","CIU","H",40
2012,"Josep Vendrell Gardeñes","Familia_llar","ICV","H",40
